key,code,period-start,period-end,location,instructor,contact-email,link,published,key:training-module
training-session-31,TS-A-024,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod te",acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-32,TS-A-025,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tem",acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-33,TS-A-026,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,<h1>!</h1>,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-34,TS-A-027,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,' or 'A'='A,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-35,TS-A-028,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,sol y luna y hola,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-36,TS-A-029,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,hola adios,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-37,TS-A-030,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,a@b.es,http://www.lorem-ipsum.org,false,training-module-01
training-session-38,TS-A-031,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,a@b.esx,http://www.lorem-ipsum.org,false,training-module-01
training-session-39,TS-A-032,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,examplewgrpuser@wgrp.example.es,http://www.lorem-ipsum.org,false,training-module-01
training-session-40,TS-A-033,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,lorem-ipsum@dolor.sit.ametd.consectetur.adipiscing.elitd.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es,http://www.lorem-ipsum.org,false,training-module-01
training-session-41,TS-A-034,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,lorem-ipsum@dolor.sit.ametd.consectetur.adipiscing.elitd.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-42,TS-A-035,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,password@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-43,TS-A-036,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,ftp://a,false,training-module-01
training-session-44,TS-A-037,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,ftp://a.b,false,training-module-01
training-session-45,TS-A-038,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://example.org?a=1&b=2,false,training-module-01
training-session-46,TS-A-039,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",false,training-module-01
training-session-47,TS-A-040,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",false,training-module-01
training-session-48,TS-A-041,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,,false,training-module-01
training-session-49,TS-A-042,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,training-module-41
training-session-50,TS-A-043,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-51,TS-A-044,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-19
training-session-52,TS-A-045,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-42
training-session-53,TS-A-046,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-46
training-session-54,TS-TST-001,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-48
training-session-55,TS-TST-002,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,true,training-module-49
