key,code,moment,duration-start-time,duration-end-time,amount,type,email,link,draftMode,key:project,key:sponsor
sponsorship-17,ABC-132,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 0.01,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-18,ABC-133,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 1000000.0,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-19,ABC-134,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 999999.99,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-20,ABC-135,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 500000.00,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-21,ABC-136,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,INKIND,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-22,ABC-137,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-23,ABC-138,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,,https://snap.fan/,true,project-01,sponsor-01
sponsorship-24,ABC-139,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,m@p.m,https://snap.fan/,true,project-01,sponsor-01
sponsorship-25,ABC-140,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,m@pz.m,https://snap.fan/,true,project-01,sponsor-01
sponsorship-26,ABC-141,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,lorem-ipsum@dolor.sit.ametd.consectetur.adipiscing.elitd.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es,https://snap.fan/,true,project-01,sponsor-01
sponsorship-27,ABC-142,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,lorem-ipsum@dolor.sit.ametd.consectetur.adipiscing.elitd.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.org,https://snap.fan/,true,project-01,sponsor-01
sponsorship-28,ABC-143,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,ftp://a,true,project-01,sponsor-01
sponsorship-29,ABC-144,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,ftp://a.b,true,project-01,sponsor-01
sponsorship-30,ABC-145,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,http://example.org?a=1&b=2,true,project-01,sponsor-01
sponsorship-31,ABC-146,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,http://www.lorem-ipsum.org/dolor/sit/ametd/consectetur/adipiscing/elitd/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/,true,project-01,sponsor-01
sponsorship-32,ABC-147,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,http://www.lorem-ipsum.org/dolor/sit/ametd/consectetur/adipiscing/elitd/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X,true,project-01,sponsor-01
sponsorship-33,ABC-148,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,,true,project-01,sponsor-01
sponsorship-34,ABC-149,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,false,project-01,sponsor-02
sponsorship-35,ABC-150,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-02,sponsor-01
sponsorship-36,ABC-151,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-37,TST-152,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-38,TST-153,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-39,TST-154,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-40,TST-155,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-41,TST-156,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
