key,enabled,identity,password,username
user-account-client-20,true,"UserIdentity{name: 'Client', surname: 'Twenty', email: 'client20@acme.com'}",client20,client20
user-account-client-21,true,"UserIdentity{name: 'Client', surname: 'Twenty-One', email: 'client21@acme.com'}",client21,client21
user-account-client-22,true,"UserIdentity{name: 'Client', surname: 'Twenty-Two', email: 'client22@acme.com'}",client22,client22
user-account-client-23,true,"UserIdentity{name: 'Client', surname: 'Twenty-Three', email: 'client23@acme.com'}",client23,client23
user-account-client-24,true,"UserIdentity{name: 'Client', surname: 'Twenty-Four', email: 'client24@acme.com'}",client24,client24
user-account-client-25,true,"UserIdentity{name: 'Client', surname: 'Twenty-Five', email: 'client25@acme.com'}",client25,client25
user-account-client-26,true,"UserIdentity{name: 'Client', surname: 'Twenty-Six', email: 'client26@acme.com'}",client26,client26
user-account-client-27,true,"UserIdentity{name: 'Client', surname: 'Twenty-Seven', email: 'client27@acme.com'}",client27,client27
user-account-client-28,true,"UserIdentity{name: 'Client', surname: 'Twenty-Eight', email: 'client28@acme.com'}",client28,client28
user-account-client-29,true,"UserIdentity{name: 'Client', surname: 'Twenty-Nine', email: 'client29@acme.com'}",client29,client29
user-account-client-30,true,"UserIdentity{name: 'Client', surname: 'Thirty', email: 'client30@acme.com'}",client30,client30
user-account-client-31,true,"UserIdentity{name: 'Client', surname: 'Thirty-One', email: 'client31@acme.com'}",client31,client31
user-account-client-32,true,"UserIdentity{name: 'Client', surname: 'Thirty-Two', email: 'client32@acme.com'}",client32,client32
user-account-client-33,true,"UserIdentity{name: 'Client', surname: 'Thirty-Three', email: 'client33@acme.com'}",client33,client33
user-account-client-34,true,"UserIdentity{name: 'Client', surname: 'Thirty-Four', email: 'client34@acme.com'}",client34,client34
user-account-client-35,true,"UserIdentity{name: 'Client', surname: 'Thirty-Five', email: 'client35@acme.com'}",client35,client35
user-account-client-36,true,"UserIdentity{name: 'Client', surname: 'Thirty-Six', email: 'client36@acme.com'}",client36,client36
user-account-client-37,true,"UserIdentity{name: 'Client', surname: 'Thirty-Seven', email: 'client37@acme.com'}",client37,client37
user-account-client-38,true,"UserIdentity{name: 'Client', surname: 'Thirty-Eight', email: 'client38@acme.com'}",client38,client38
user-account-client-39,true,"UserIdentity{name: 'Client', surname: 'Thirty-Nine', email: 'client39@acme.com'}",client39,client39
user-account-client-40,true,"UserIdentity{name: 'Client', surname: 'Forty', email: 'client40@acme.com'}",client40,client40
user-account-client-41,true,"UserIdentity{name: 'Client', surname: 'Forty-One', email: 'client41@acme.com'}",client41,client41
user-account-client-42,true,"UserIdentity{name: 'Client', surname: 'Forty-Two', email: 'client42@acme.com'}",client42,client42
user-account-client-43,true,"UserIdentity{name: 'Client', surname: 'Forty-Three', email: 'client43@acme.com'}",client43,client43
user-account-client-44,true,"UserIdentity{name: 'Client', surname: 'Forty-Four', email: 'client44@acme.com'}",client44,client44
user-account-client-45,true,"UserIdentity{name: 'Client', surname: 'Forty-Five', email: 'client45@acme.com'}",client45,client45
user-account-client-46,true,"UserIdentity{name: 'Client', surname: 'Forty-Six', email: 'client46@acme.com'}",client46,client46
user-account-client-47,true,"UserIdentity{name: 'Client', surname: 'Forty-Seven', email: 'client47@acme.com'}",client47,client47
user-account-client-48,true,"UserIdentity{name: 'Client', surname: 'Forty-Eight', email: 'client48@acme.com'}",client48,client48
user-account-client-49,true,"UserIdentity{name: 'Client', surname: 'Forty-Nine', email: 'client49@acme.com'}",client49,client49
user-account-client-50,true,"UserIdentity{name: 'Client', surname: 'Fifty', email: 'client50@acme.com'}",client50,client50
user-account-manager-01,true,"UserIdentity{name: 'Manager', surname: 'M-One', email: 'manager1@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'Manager', surname: 'M-Two', email: 'manager2@acme.com'}",manager2,manager2
user-account-auditor-01,true,"UserIdentity{name: 'Miguel', surname: 'Pol', email: 'miguelPol@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Rafa', surname: 'Maya', email: 'rafaMaya@acme.com'}",auditor2,auditor2
user-account-administrator-02,true,"UserIdentity{name: 'Admin', surname: '1', email: 'admin1@acme.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Admin', surname: '2', email: 'admin2@acme.com'}",administrator2,administrator2
user-account-Sponsor-01,true,"UserIdentity{name: 'Sponsor1', surname: '1', email: 'peter1@acme.com'}",sponsor1,sponsor1
user-account-Sponsor-02,true,"UserIdentity{name: 'Sponsor2', surname: '2', email: 'peter2@acme.com'}",sponsor2,sponsor2
user-account-Sponsor-03,true,"UserIdentity{name: 'Sponsor3', surname: '3', email: 'peter3@acme.com'}",sponsor3,sponsor3
user-account-Sponsor-04,true,"UserIdentity{name: 'Sponsor4', surname: '4', email: 'peter4@acme.com'}",sponsor4,sponsor4
user-account-Sponsor-05,true,"UserIdentity{name: 'Sponsor5', surname: '5', email: 'peter5@acme.com'}",sponsor5,sponsor5
